name,smiles,valid,mw,logp,qed,hbd,hba,tpsa,rot,ro5_pass
AN00_parent,COc1cc2ncc(C#N)c(N3CCCC(CNS(N)(=O)=O)CC3)c2cc1OC,True,419.5,1.52,0.726,2,7,130.6,6,True
AN01_Nhydroxyethyl,COc1cc2ncc(C#N)c(N3CCCC(CNS(=O)(=O)NCCO)CC3)c2cc1OC,True,463.6,1.15,0.504,3,8,136.8,9,True
AN02_Ncarboxamide,COc1cc2ncc(C#N)c(N3CCCC(CNS(=O)(=O)NCC(N)=O)CC3)c2cc1OC,True,476.6,0.64,0.475,3,8,159.7,9,True
AN03_Nmethyl,CNS(=O)(=O)NCC1CCCN(c2c(C#N)cnc3cc(OC)c(OC)cc23)CC1,True,433.5,1.78,0.684,2,7,116.6,7,True
AN04_Naminoethyl,COc1cc2ncc(C#N)c(N3CCCC(CNS(=O)(=O)NCCN)CC3)c2cc1OC,True,462.6,1.11,0.503,3,8,142.6,9,True
AN05_ethyllinker,COc1cc2ncc(C#N)c(N3CCCC(CCNS(N)(=O)=O)CC3)c2cc1OC,True,433.5,1.91,0.682,2,7,130.6,7,True
AN06_directlink,COc1cc2ncc(C#N)c(N3CCCC(NS(N)(=O)=O)CC3)c2cc1OC,True,405.5,1.28,0.766,2,7,130.6,5,True
AN07_hydroxy,COc1cc2ncc(C#N)c(N3CCCC(CNS(N)(=O)=O)CC3)c2cc1O,True,405.5,1.22,0.679,3,7,141.6,5,True
AN08_hydroxymethyl,COc1cc2c(N3CCCC(CNS(N)(=O)=O)CC3)c(C#N)cnc2cc1CO,True,419.5,1.01,0.634,3,7,141.6,6,True
AN09_carboxamide_ring,COc1cc2c(N3CCCC(CNS(N)(=O)=O)CC3)c(C#N)cnc2cc1C(N)=O,True,432.5,0.61,0.602,3,7,164.4,6,True
AN10_piperidinol,COc1cc2ncc(C#N)c(N3CCC(O)C(CNS(N)(=O)=O)CC3)c2cc1OC,True,435.5,0.49,0.593,3,8,150.8,6,True
AN11_fluoro_pip,COc1cc2ncc(C#N)c(N3CCCC(CNS(N)(=O)=O)C(F)C3)c2cc1OC,True,437.5,1.47,0.7,2,7,130.6,6,True
AN12_azaquinoline,COc1cc2ncc(C#N)c(N3CCCC(CNS(N)(=O)=O)CC3)c2nc1OC,True,420.5,0.92,0.702,2,8,143.5,6,True
