analog,enpp1,enpp2,enpp3,margin_enpp2,margin_enpp3,worst_margin,qed,mw,logp,tpsa,ro5_pass
AN10_piperidinol,-9.4,-7.4,-8.5,2.0,0.9,0.9,0.593,435.5,0.49,150.8,True
AN03_Nmethyl,-7.8,-6.7,-7.1,1.1,0.7,0.7,0.684,433.5,1.78,116.6,True
AN11_fluoro_pip,-8.1,-7.7,-7.5,0.4,0.6,0.4,0.7,437.5,1.47,130.6,True
AN01_Nhydroxyethyl,-8.1,-7.8,-7.5,0.3,0.6,0.3,0.504,463.6,1.15,136.8,True
AN05_ethyllinker,-8.2,-7.9,-7.7,0.3,0.5,0.3,0.682,433.5,1.91,130.6,True
AN12_azaquinoline,-7.7,-7.0,-7.4,0.7,0.3,0.3,0.702,420.5,0.92,143.5,True
AN00_parent,-8.1,-7.3,-7.9,0.8,0.2,0.2,0.726,419.5,1.52,130.6,True
AN04_Naminoethyl,-8.2,-7.4,-8.0,0.8,0.2,0.2,0.503,462.6,1.11,142.6,True
AN02_Ncarboxamide,-8.3,-7.6,-8.6,0.7,-0.3,-0.3,0.475,476.6,0.64,159.7,True
AN08_hydroxymethyl,-8.0,-8.3,-8.1,-0.3,-0.1,-0.3,0.634,419.5,1.01,141.6,True
AN09_carboxamide_ring,-8.4,-8.1,-8.7,0.3,-0.3,-0.3,0.602,432.5,0.61,164.4,True
AN07_hydroxy,-8.8,-8.0,-9.2,0.8,-0.4,-0.4,0.679,405.5,1.22,141.6,True
AN06_directlink,-7.9,-7.1,-8.4,0.8,-0.5,-0.5,0.766,405.5,1.28,130.6,True
