ligand,paralog,margin,ci_lo,ci_hi,p_ENPP1_pref,sig
CHEMBL6149286,enpp2,-0.8,-0.85,-0.73,0.0,yes
CHEMBL6149286,enpp3,-1.77,-1.82,-1.72,0.0,yes
CHEMBL6174154,enpp2,0.0,-0.09,0.09,0.559,no
CHEMBL6174154,enpp3,-1.31,-1.36,-1.26,0.0,yes
CHEMBL5826130,enpp2,0.49,0.47,0.52,1.0,yes
CHEMBL5826130,enpp3,0.12,0.1,0.14,1.0,yes
TZV_native,enpp2,0.35,0.29,0.42,1.0,yes
TZV_native,enpp3,-1.12,-1.18,-1.05,0.0,yes
CHEMBL5915707,enpp2,1.06,0.99,1.12,1.0,yes
CHEMBL5915707,enpp3,0.42,0.39,0.45,1.0,yes
CHEMBL5555976,enpp2,0.05,-0.04,0.13,0.861,no
CHEMBL5555976,enpp3,0.52,0.5,0.54,1.0,yes
